region_name,constituencies
NAKURU,BAHATI
NAROK,NAROK SOUTH
NAROK,NAROK NORTH
NAROK,KILGORIS
NAROK,NAROK WEST
NAROK,EMURUA DIKIRR
NAROK,NAROK EAST
KAJIADO,KAJIADO CENTRAL
KAJIADO,KAJIADO WEST
KAJIADO,KAJIADO EAST
KAJIADO,KAJIADO SOUTH
KAJIADO,KAJIADO NORTH
MAKUENI,KIBWEZI WEST
MAKUENI,MBOONI
MAKUENI,MAKUENI
MAKUENI,KAITI
MAKUENI,KILOME
MAKUENI,KIBWEZI EAST
KERICHO,BELGUT
KERICHO,KIPKELION WEST
KERICHO,SIGOWET/SOIN
KERICHO,KIPKELION EAST
KERICHO,AINAMOI
BOMET,KONOIN
KAKAMEGA,SHINYALU
KAKAMEGA,MATUNGU
KAKAMEGA,BUTERE
KAKAMEGA,KHWISERO
KAKAMEGA,MALAVA
KAKAMEGA,IKOLOMANI
KAKAMEGA,LURAMBI
KAKAMEGA,MUMIAS WEST
KAKAMEGA,NAVAKHOLO
KAKAMEGA,MUMIAS EAST
VIHIGA,HAMISI
VIHIGA,SABATIA
VIHIGA,LUANDA
VIHIGA,VIHIGA
VIHIGA,EMUHAYA
BUNGOMA,KANDUYI
BUNGOMA,MT. ELGON
BUNGOMA,KIMILILI
BUNGOMA,SIRISIA
BUNGOMA,BUMULA
BUNGOMA,TONGAREN
BUNGOMA,WEBUYE EAST
BUNGOMA,KABUCHAI
BUNGOMA,WEBUTE WEST
BUSIA,TESO NORTH
BUSIA,BUTULA
BUSIA,FUNYULA
BUSIA,TESO SOUTH
BUSIA,MATAYOS
BUSIA,NAMBALE
BUSIA,BUDALANGI
SIAYA,UGENYA
SIAYA,RARIEDA
SIAYA,BONDO
SIAYA,UGUNJA
SIAYA,GEM
SIAYA,ALEGO USONGA
HOMA BAY,RANGWE
HOMA BAY,KASIPUL
HOMA BAY,SUBA
HOMA BAY,KARACHUONYO
HOMA BAY,KABONDO KASIPUL
HOMA BAY,MBITA
HOMA BAY,NDHIWA
HOMA BAY,HOMA BAY TOWN
MIGORI,KURIA EAST
MIGORI,NYATIKE
MIGORI,AWENDO
MIGORI,KURIA WEST
MIGORI,URIRI
MIGORI,RONGO
KISII,NYARIBARI CHACHE
KISII,KITUTU CHACHE NORTH
KISII,NYARIBARI MASABA
KISII,BOMACHOGE CHACHE
KISII,BOBASI
KISII,BOMACHOGE BORABU
KISII,BONCHARI
KISII,KITUTU CHACHE SOUTH
KISII,SOUTH MUGIRANGO
KERICHO,BURETI
BOMET,CHEPALUNGU
BOMET,BOMET EAST
BOMET,SOTIK
BOMET,BOMET CENTRAL
NYAMIRA,NORTH MUGIRANGO
NYAMIRA,WEST MUGIRANGO
NYAMIRA,KITUTU MASABA
NYAMIRA,BORABU
KISUMU,NYAKACH
KISUMU,SEME
KISUMU,NYANDO
KISUMU,KISUMU WEST
KISUMU,KISUMU EAST
KISUMU,KISUMU CENTRAL
KAKAMEGA,LUGARI
TRANS NZOIA,ENDEBESS
TRANS NZOIA,KWANZA
TRANS NZOIA,SABOTI
TRANS NZOIA,CHERANGANY
TRANS NZOIA,KIMININI
KAKAMEGA,LIKUYANI
MANDERA,LAFEY
MANDERA,MANDERA EAST
NAIROBI,EMBAKASI WEST
NAIROBI,EMBAKASI EAST
NAIROBI,EMBAKASI NORTH
NAIROBI,EMBAKASI CENTRAL
NAIROBI,EMBAKASI SOUTH
NAIROBI,MAKADARA
KITUI,MWINGI WEST
KITUI,MWINGI CENTRAL
KITUI,MWINGI NORTH
NYANDARUA,OL JOROK
NYANDARUA,OL KALOU
MIGORI,SUNA EAST
MIGORI,SUNA WEST
LAIKIPIA,LAIKIPIA WEST
LAIKIPIA,LAIKIPIA EAST
MOMBASA,CHANGAMWE
